Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
10, 101, 1881, 1567.9, 440.4, 659.4, 20339.5, 0, 
10, 102, 7920, 63507.6, 758.9, 402.9, 1336.8, 0, 
20, 101, 1881, 1887.9, 449.8, 329.1, 9373.6, 0, 
20, 102, 7920, 67076.5, 773.2, 408.4, 1448.4, 0, 
30, 101, 1881, 2031.7, 448.4, 291.5, 5633, 0, 
30, 102, 7920, 70593.1, 783.4, 412.3, 1538.8, 0, 
40, 101, 1881, 2081.9, 445.4, 268.4, 4394.1, 0, 
40, 102, 7920, 74040.5, 791.2, 415.5, 1614.8, 0, 
50, 101, 1881, 2104.7, 442, 259, 3991.7, 0, 
50, 102, 7920, 77417, 797.4, 417.9, 1685, 0, 
