Year,Month,Variable,101,102
1962,1,precip,26.231833,26.231833
1962,2,precip,36.838173,36.838173
1962,3,precip,16.635289,16.635289
1962,4,precip,67.058964,67.058964
1962,5,precip,133.888725,133.888725
1962,6,precip,83.37505,83.37505
1962,7,precip,126.766335,126.766335
1962,8,precip,99.209145,99.209145
1962,9,precip,83.23849,83.23849
1962,10,precip,21.656309,21.656309
1962,11,precip,16.819995,16.819995
1962,12,precip,27.498943,27.498943
1963,1,precip,13.2649045,13.2649045
1963,2,precip,22.048825,22.048825
1963,3,precip,47.486988,47.486988
1963,4,precip,68.37129,68.37129
1963,5,precip,96.472305,96.472305
1963,6,precip,107.69012,107.69012
1963,7,precip,115.69011,115.69011
1963,8,precip,102.251816,102.251816
1963,9,precip,66.4727,66.4727
1963,10,precip,33.084875,33.084875
1963,11,precip,44.6077,44.6077
1963,12,precip,25.379363,25.379363
1964,1,precip,23.701396,23.701396
1964,2,precip,17.4784136,17.4784136
1964,3,precip,27.208439,27.208439
1964,4,precip,86.829544,86.829544
1964,5,precip,112.77705,112.77705
1964,6,precip,148.86151,148.86151
1964,7,precip,47.122425,47.122425
1964,8,precip,134.82963,134.82963
1964,9,precip,114.11603,114.11603
1964,10,precip,25.017584,25.017584
1964,11,precip,38.034061,38.034061
1964,12,precip,45.789974,45.789974
1965,1,precip,22.834697,22.834697
1965,2,precip,26.719152,26.719152
1965,3,precip,68.479565,68.479565
1965,4,precip,50.33692,50.33692
1965,5,precip,109.91672,109.91672
1965,6,precip,115.475235,115.475235
1965,7,precip,84.96357,84.96357
1965,8,precip,84.07816,84.07816
1965,9,precip,176.63615,176.63615
1965,10,precip,76.07814,76.07814
1965,11,precip,88.43296,88.43296
1965,12,precip,50.9366,50.9366
1966,1,precip,29.794107,29.794107
1966,2,precip,28.386389,28.386389
1966,3,precip,69.142937,69.142937
1966,4,precip,76.12791,76.12791
1966,5,precip,49.044888,49.044888
1966,6,precip,94.05888,94.05888
1966,7,precip,83.8523,83.8523
1966,8,precip,178.2026,178.2026
1966,9,precip,33.290339,33.290339
1966,10,precip,75.85268,75.85268
1966,11,precip,28.419949,28.419949
1966,12,precip,33.515461,33.515461
1967,1,precip,46.76914,46.76914
1967,2,precip,18.590548,18.590548
1967,3,precip,34.687,34.687
1967,4,precip,83.99489,83.99489
1967,5,precip,42.26786,42.26786
1967,6,precip,134.68558,134.68558
1967,7,precip,79.32714,79.32714
1967,8,precip,64.20467,64.20467
1967,9,precip,40.007778,40.007778
1967,10,precip,41.688795,41.688795
1967,11,precip,21.548865,21.548865
1967,12,precip,33.564392,33.564392
1968,1,precip,25.482955,25.482955
1968,2,precip,11.860366,11.860366
1968,3,precip,51.816227,51.816227
1968,4,precip,106.49886,106.49886
1968,5,precip,74.872826,74.872826
1968,6,precip,161.7956,161.7956
1968,7,precip,91.25263,91.25263
1968,8,precip,111.16222,111.16222
1968,9,precip,107.60047,107.60047
1968,10,precip,123.79268,123.79268
1968,11,precip,22.217746,22.217746
1968,12,precip,60.94505,60.94505
1969,1,precip,80.78473,80.78473
1969,2,precip,15.9712596,15.9712596
1969,3,precip,14.2992516,14.2992516
1969,4,precip,52.9986,52.9986
1969,5,precip,99.29124,99.29124
1969,6,precip,75.03332,75.03332
1969,7,precip,115.886086,115.886086
1969,8,precip,93.16406,93.16406
1969,9,precip,114.08915,114.08915
1969,10,precip,70.6934,70.6934
1969,11,precip,35.768415,35.768415
1969,12,precip,48.148254,48.148254
1970,1,precip,20.991226,20.991226
1970,2,precip,16.070604,16.070604
1970,3,precip,32.405773,32.405773
1970,4,precip,73.07979,73.07979
1970,5,precip,78.00872,78.00872
1970,6,precip,72.94511,72.94511
1970,7,precip,75.43932,75.43932
1970,8,precip,30.96588,30.96588
1970,9,precip,64.781708,64.781708
1970,10,precip,163.93793,163.93793
1970,11,precip,68.283405,68.283405
1970,12,precip,44.30198,44.30198
1971,1,precip,29.88909,29.88909
1971,2,precip,51.650997,51.650997
1971,3,precip,42.765583,42.765583
1971,4,precip,35.335962,35.335962
1971,5,precip,82.05954,82.05954
1971,6,precip,138.49342,138.49342
1971,7,precip,87.727646,87.727646
1971,8,precip,81.309105,81.309105
1971,9,precip,93.63111,93.63111
1971,10,precip,173.82654,173.82654
1971,11,precip,59.586105,59.586105
1971,12,precip,27.743153,27.743153
1972,1,precip,35.86883,35.86883
1972,2,precip,25.327456,25.327456
1972,3,precip,37.595953,37.595953
1972,4,precip,52.443325,52.443325
1972,5,precip,67.717037,67.717037
1972,6,precip,83.253105,83.253105
1972,7,precip,167.52167,167.52167
1972,8,precip,139.55202,139.55202
1972,9,precip,107.7101,107.7101
1972,10,precip,44.663647,44.663647
1972,11,precip,31.030703,31.030703
1972,12,precip,37.115429,37.115429
1973,1,precip,21.9073515,21.9073515
1973,2,precip,11.9871364,11.9871364
1973,3,precip,31.43587,31.43587
1973,4,precip,44.28027,44.28027
1973,5,precip,96.062614,96.062614
1973,6,precip,108.57067,108.57067
1973,7,precip,122.50032,122.50032
1973,8,precip,113.4929,113.4929
1973,9,precip,104.19946,104.19946
1973,10,precip,118.342476,118.342476
1973,11,precip,35.019625,35.019625
1973,12,precip,26.775328,26.775328
1974,1,precip,23.497575,23.497575
1974,2,precip,19.896581,19.896581
1974,3,precip,32.667854,32.667854
1974,4,precip,67.56589,67.56589
1974,5,precip,113.56125,113.56125
1974,6,precip,80.86326,80.86326
1974,7,precip,117.94415,117.94415
1974,8,precip,113.710075,113.710075
1974,9,precip,32.125769,32.125769
1974,10,precip,58.15108,58.15108
1974,11,precip,57.853237,57.853237
1974,12,precip,30.097357,30.097357
1975,1,precip,83.79785,83.79785
1975,2,precip,22.38794,22.38794
1975,3,precip,51.27417,51.27417
1975,4,precip,57.10819,57.10819
1975,5,precip,63.061234,63.061234
1975,6,precip,145.07985,145.07985
1975,7,precip,105.98903,105.98903
1975,8,precip,78.87258,78.87258
1975,9,precip,89.020836,89.020836
1975,10,precip,48.849213,48.849213
1975,11,precip,59.06887,59.06887
1975,12,precip,25.00931,25.00931
1976,1,precip,32.63957,32.63957
1976,2,precip,20.005668,20.005668
1976,3,precip,56.183483,56.183483
1976,4,precip,25.630402,25.630402
1976,5,precip,22.00749,22.00749
1976,6,precip,187.2352,187.2352
1976,7,precip,80.381615,80.381615
1976,8,precip,41.754045,41.754045
1976,9,precip,29.45375,29.45375
1976,10,precip,25.621567,25.621567
1976,11,precip,14.4728355,14.4728355
1976,12,precip,24.534158,24.534158
1977,1,precip,24.0108795,24.0108795
1977,2,precip,24.420169,24.420169
1977,3,precip,54.80384,54.80384
1977,4,precip,44.50299,44.50299
1977,5,precip,109.13279,109.13279
1977,6,precip,115.270386,115.270386
1977,7,precip,96.33242,96.33242
1977,8,precip,147.49223,147.49223
1977,9,precip,148.54912,148.54912
1977,10,precip,65.40531,65.40531
1977,11,precip,88.28799,88.28799
1977,12,precip,40.147047,40.147047
1978,1,precip,22.513528,22.513528
1978,2,precip,20.802073,20.802073
1978,3,precip,25.166588,25.166588
1978,4,precip,49.11828,49.11828
1978,5,precip,99.76739,99.76739
1978,6,precip,85.096466,85.096466
1978,7,precip,179.81732,179.81732
1978,8,precip,164.99841,164.99841
1978,9,precip,84.772964,84.772964
1978,10,precip,25.0169115,25.0169115
1978,11,precip,40.555637,40.555637
1978,12,precip,31.301065,31.301065
1979,1,precip,24.527338,24.527338
1979,2,precip,48.951138,48.951138
1979,3,precip,83.58869,83.58869
1979,4,precip,47.165936,47.165936
1979,5,precip,92.370636,92.370636
1979,6,precip,113.35122,113.35122
1979,7,precip,128.5729,128.5729
1979,8,precip,68.14181,68.14181
1979,9,precip,65.468636,65.468636
1979,10,precip,90.11209,90.11209
1979,11,precip,30.879221,30.879221
1979,12,precip,15.9611416,15.9611416
1980,1,precip,40.291874,40.291874
1980,2,precip,22.783494,22.783494
1980,3,precip,32.965216,32.965216
1980,4,precip,25.208543,25.208543
1980,5,precip,28.919178,28.919178
1980,6,precip,102.703354,102.703354
1980,7,precip,77.43104,77.43104
1980,8,precip,149.08678,149.08678
1980,9,precip,105.83994,105.83994
1980,10,precip,43.0033,43.0033
1980,11,precip,32.21806,32.21806
1980,12,precip,25.272578,25.272578
1981,1,precip,16.8591957,16.8591957
1981,2,precip,37.943533,37.943533
1981,3,precip,29.874317,29.874317
1981,4,precip,115.92006,115.92006
1981,5,precip,41.978745,41.978745
1981,6,precip,160.80893,160.80893
1981,7,precip,84.798904,84.798904
1981,8,precip,92.76598,92.76598
1981,9,precip,75.38132,75.38132
1981,10,precip,128.32254,128.32254
1981,11,precip,24.029475,24.029475
1981,12,precip,31.063171,31.063171
1982,1,precip,41.737432,41.737432
1982,2,precip,18.486966,18.486966
1982,3,precip,45.793766,45.793766
1982,4,precip,48.987106,48.987106
1982,5,precip,124.96321,124.96321
1982,6,precip,79.136826,79.136826
1982,7,precip,169.11882,169.11882
1982,8,precip,79.311676,79.311676
1982,9,precip,112.04188,112.04188
