Table,Parameter,Abbreviation,Units,Foliage Nature,Species,Value,Source
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies amabilis,0.093,Gholz et al. 1976; Grier and Milne 1981; Grier et al. 1981
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies amabilis,0.047,Gholz et al. 1976; Grier and Milne 1981; Grier et al. 1981
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies balsamea,0.27,Baskerville 1965; Baskerville 1966
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies balsamea,0.27,Baskerville 1965; Baskerville 1966
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies balsamea,0.263,Baskerville 1965; Baskerville 1966
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies balsamea,0.27,Baskerville 1965; Baskerville 1966
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies balsamea,0.27,Baskerville 1965; Baskerville 1966
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies balsamea,0.278,Baskerville 1965; Baskerville 1966
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies concolor,0.244,Whittaker and Niering 1968; Whittaker and Niering 1975
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies lasiocarpa,0.227,Whittaker and Niering 1968; Whittaker and Niering 1975
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies procera,0.182,Fujimori et al. 1976
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies sachalinensis ,0.233,Satoo 1973
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies veitchii ,0.294,Tadaki et al. 1967
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies veitchii ,0.208,Tadaki et al. 1967
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies veitchii ,0.192,Tadaki et al. 1967
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies veitchii ,0.196,Tadaki et al. 1967
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies veitchii ,0.345,Tadaki et al. 1967
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies veitchii ,0.185,Tadaki et al. 1967
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies veitchii ,0.213,Tadaki et al. 1967
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies veitchii ,0.313,Tadaki et al. 1967
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies veitchii ,0.233,Tadaki et al. 1967
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies veitchii ,0.286,Kimura 1963; Kimura 1969; Kimura et al. 1968
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies veitchii ,0.161,Kimura 1963; Kimura 1969; Kimura et al. 1968
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies veitchii ,0.175,Kimura 1963; Kimura 1969; Kimura et al. 1968
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies veitchii ,0.161,Kimura 1963; Kimura 1969; Kimura et al. 1968
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies veitchii ,0.139,Kimura 1963; Kimura 1969; Kimura et al. 1968
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies veitchii ,0.204,Kimura 1963; Kimura 1969; Kimura et al. 1968
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Abies veitchii ,0.185,Kimura 1963; Kimura 1969; Kimura et al. 1968
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Picea abies ,0.141,Duvigneaud and Kestemont 1977; Kestemont 1975
A.1.1,Leaf and fine root turnover,LFRT,per year,Evergreen needle leaf forest,Picea abies ,0.189,Droste zu Hülshoff 1970; Ellenberg 1981a
